ID,Label,Type,Image,birthPlaceLabel,birthCountryLabel,deathPlaceLabel,deathCountryLabel,Samengestelde werkplaatsen,Samengestelde woonplaatsen,Bijhorendland,BijhorendlandLabel
Q117244211,Dymphna Gezelle,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Foto%20Dymphna%20Gezelle%20%282%29.jpg,Brugge,België,Leuven,België,,,,
Q55911879,Désiré Claes,Person,,Neerlinter,België,Namen,België,,,,
Q115836065,Edezius Goormachtigh,Person,,Dottenijs,België,Luik,België,,,,
Q377071,Edgar Tinel,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Edgar%20Tinel%201911.jpg,Sinaai,België,Brussel,België,,,,
Q122903342,Edith-Cathare Smith,Person,,Londen,Verenigd Koninkrijk,Marylebone,Verenigd Koninkrijk,,,,
Q120718341,Edmond Amand Constant Lecompte,Person,,Wervik,België,,,,,,
Q136762833,Edmond Antoine Marie Gilleman,Person,,Brugge,België,Brugge,België,,,,
Q118120867,Edmond De Plancke,Person,,Brugge,België,Brugge,België,,,,
Q13575367,Edmond Denys,Person,,Roeselare,België,Lichtervelde,België,,,,
Q136759995,Edmond Désiré Deckmyn,Person,,Roeselare,België,Brussel,België,,,,
Q115820636,Edmond Neut,Person,,Gent,België,Kandy,Sri Lanka,,,,
Q115836962,Edmond Soenen,Person,,Wingene,België,Brugge,België,,,,
Q4902927,Edmond Van Hee,Person,,Lo,België,Veurne,België,,,,
Q18533827,Edmond Van der Straeten,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Portret%20van%20Edmond%20Van%20der%20Straeten%201895%20barcode%20910000105444.jpg,Oudenaarde,België,Oudenaarde,België,,,,
Q119690392,Edmond Wallays,Person,,Leffinge,België,Q7683408,Maleisië,,,,
Q118792556,Edmund Benedict Hicks,Person,,Emsworth,Verenigd Koninkrijk,Nantes,Frankrijk,,,,
Q122963358,Edouard Amand Justin Marie Neut,Person,,Gent,België,Brugge,België,,,,
Q120442396,Edouard François Huys,Person,,Geluwe,België,Poperinge,België,,,,
Q120721942,Edouard Lietaer,Person,,,,,,,,,
Q115839320,Edouardus Vyncke,Person,,Beveren,België,Kortrijk,België,,,,
Q120550899,Eduard De Jonghe,Person,,Pittem,België,Izegem,België,,,,
Q115839353,Eduard Verraes,Person,,Menen,België,Tielt,België,,,,
Q122963909,Eduardus Edmondus Van Wtberghe,Person,,Poperinge,België,Poperinge,België,,,,
Q2345694,Edward De Gryse,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Edward%20De%20Gryse%20-%20priester-deken%20-%20Kortrijk.jpg,Roeselare,België,Kortrijk,België,,,,
Q115979952,Edward Declercq,Person,,Lauwe,België,Kortrijk,België,,,,
Q2360914,Edward Gailliard,Person,,Brugge,België,Brugge,België,,,,
Q13575404,Edward Van Even,Person,http://commons.wikimedia.org/wiki/Special:FilePath/EdwardVanEven.jpg,Leuven,België,Leuven,België,,,,
