source,sourceLabel,target,targetLabel,relationshipType
http://www.wikidata.org/entity/Q3515115,Pol de Mont,http://www.wikidata.org/entity/Q64,Berlijn,Sterfteplaats
http://www.wikidata.org/entity/Q3515115,Pol de Mont,http://www.wikidata.org/entity/Q173219,Doornik,Werklocatie
http://www.wikidata.org/entity/Q3515115,Pol de Mont,http://www.wikidata.org/entity/Q2629754,Wambeek,Geboorteplaats
http://www.wikidata.org/entity/Q2414284,Pollinkhove,http://www.wikidata.org/entity/Q31,België,In Land
http://www.wikidata.org/entity/Q110039361,Polydoor Dionysius Daniëls,http://www.wikidata.org/entity/Q743236,Diest,Geboorteplaats
http://www.wikidata.org/entity/Q110039361,Polydoor Dionysius Daniëls,http://www.wikidata.org/entity/Q58780,Hasselt,Werklocatie
http://www.wikidata.org/entity/Q110039361,Polydoor Dionysius Daniëls,http://www.wikidata.org/entity/Q207095,Hoei,Werklocatie
http://www.wikidata.org/entity/Q110039361,Polydoor Dionysius Daniëls,http://www.wikidata.org/entity/Q641278,Hoeilaart,Sterfteplaats
http://www.wikidata.org/entity/Q110039361,Polydoor Dionysius Daniëls,http://www.wikidata.org/entity/Q38298881,Saint-Roch,Werklocatie
http://www.wikidata.org/entity/Q110039361,Polydoor Dionysius Daniëls,http://www.wikidata.org/entity/Q218497,Zolder,Werklocatie
http://www.wikidata.org/entity/Q499588,Poperinge,http://www.wikidata.org/entity/Q31,België,In Land
http://www.wikidata.org/entity/Q36433,Porto,http://www.wikidata.org/entity/Q45,Portugal,In Land
http://www.wikidata.org/entity/Q28599921,Portsea,http://www.wikidata.org/entity/Q145,Verenigd Koninkrijk,In Land
http://www.wikidata.org/entity/Q184090,Preston,http://www.wikidata.org/entity/Q145,Verenigd Koninkrijk,In Land
http://www.wikidata.org/entity/Q1003559,Prestwich,http://www.wikidata.org/entity/Q145,Verenigd Koninkrijk,In Land
http://www.wikidata.org/entity/Q2754460,Prosper Antoine Van Langendonck,http://www.wikidata.org/entity/Q239,Brussel,Geboorteplaats
http://www.wikidata.org/entity/Q2754460,Prosper Antoine Van Langendonck,http://www.wikidata.org/entity/Q239,Brussel,Sterfteplaats
http://www.wikidata.org/entity/Q120488044,Prosper Bernard,http://www.wikidata.org/entity/Q1904127,Sint-Maria-Latem,Werklocatie
http://www.wikidata.org/entity/Q2396419,Proven,http://www.wikidata.org/entity/Q31,België,In Land
http://www.wikidata.org/entity/Q3504647,Purworejo,http://www.wikidata.org/entity/Q252,Indonesië,In Land
http://www.wikidata.org/entity/Q908546,Puurs,http://www.wikidata.org/entity/Q31,België,In Land
http://www.wikidata.org/entity/Q36074,Queensland,http://www.wikidata.org/entity/Q408,Australië,In Land
http://www.wikidata.org/entity/Q122801933,Rafaël Debo,http://www.wikidata.org/entity/Q12995,Kortrijk,Werklocatie
http://www.wikidata.org/entity/Q122801933,Rafaël Debo,http://www.wikidata.org/entity/Q12995,Kortrijk,Geboorteplaats
http://www.wikidata.org/entity/Q122801933,Rafaël Debo,http://www.wikidata.org/entity/Q12995,Kortrijk,Sterfteplaats
http://www.wikidata.org/entity/Q1796639,Rafaël Verhulst,http://www.wikidata.org/entity/Q1017,Aken,Sterfteplaats
http://www.wikidata.org/entity/Q1796639,Rafaël Verhulst,http://www.wikidata.org/entity/Q9768,Vaals,Sterfteplaats
http://www.wikidata.org/entity/Q1796639,Rafaël Verhulst,http://www.wikidata.org/entity/Q839037,Wommelgem,Geboorteplaats
http://www.wikidata.org/entity/Q773585,Rainsars,http://www.wikidata.org/entity/Q142,Frankrijk,In Land
http://www.wikidata.org/entity/Q2189234,Ramsel,http://www.wikidata.org/entity/Q31,België,In Land
http://www.wikidata.org/entity/Q1947380,Ranchi,http://www.wikidata.org/entity/Q668,India,In Land
http://www.wikidata.org/entity/Q115822210,Raymond Muyldermans,http://www.wikidata.org/entity/Q723651,Balen,Geboorteplaats
http://www.wikidata.org/entity/Q115822210,Raymond Muyldermans,http://www.wikidata.org/entity/Q1348,Calcutta,Sterfteplaats
http://www.wikidata.org/entity/Q115822210,Raymond Muyldermans,http://www.wikidata.org/entity/Q1947380,Ranchi,Werklocatie
http://www.wikidata.org/entity/Q161491,Reading,http://www.wikidata.org/entity/Q145,Verenigd Koninkrijk,In Land
http://www.wikidata.org/entity/Q2566545,Rekkem,http://www.wikidata.org/entity/Q31,België,In Land
http://www.wikidata.org/entity/Q4423628,Remi Ghesquiere,http://www.wikidata.org/entity/Q1963590,Geluwe,Werklocatie
http://www.wikidata.org/entity/Q4423628,Remi Ghesquiere,http://www.wikidata.org/entity/Q210003,Halle,Werklocatie
http://www.wikidata.org/entity/Q4423628,Remi Ghesquiere,http://www.wikidata.org/entity/Q12995,Kortrijk,Werklocatie
http://www.wikidata.org/entity/Q4423628,Remi Ghesquiere,http://www.wikidata.org/entity/Q270633,Torhout,Werklocatie
http://www.wikidata.org/entity/Q115807960,Remigius De Ryckere,http://www.wikidata.org/entity/Q960518,Deer Lodge,Woonplaats
http://www.wikidata.org/entity/Q115807960,Remigius De Ryckere,http://www.wikidata.org/entity/Q960518,Deer Lodge,Werklocatie
