source,target,Type,Weight,relationshipType
Q56036059,Q208713,Undirected,1,Werklocatie
Q56036059,Q21,Undirected,1,Werklocatie
Q56036059,Q21,Undirected,1,Woonplaats
Q56036059,Q1296,Undirected,1,Geboorteplaats
Q56036059,Q1296,Undirected,1,Werklocatie
Q56036059,Q1143278,Undirected,1,Sterfteplaats
Q2675588,Q2751461,Undirected,1,Werklocatie
Q2675588,Q3040923,Undirected,1,Werklocatie
Q2675588,Q12995,Undirected,1,Sterfteplaats
Q2675588,Q1847545,Undirected,1,Werklocatie
Q2675588,Q623310,Undirected,1,Werklocatie
Q2675588,Q270633,Undirected,1,Werklocatie
Q2675588,Q2227700,Undirected,1,Geboorteplaats
Q2539969,Q1296,Undirected,1,Sterfteplaats
Q2539969,Q219827,Undirected,1,Geboorteplaats
Q120973166,Q300970,Undirected,1,Sterfteplaats
Q120973166,Q3475001,Undirected,1,Werklocatie
Q120973166,Q3475027,Undirected,1,Geboorteplaats
Q120973166,Q3475027,Undirected,1,Werklocatie
Q2050293,Q448840,Undirected,1,Werklocatie
Q2050293,Q726498,Undirected,1,Werklocatie
Q2050293,Q822790,Undirected,1,Geboorteplaats
Q2050293,Q2041206,Undirected,1,Sterfteplaats
Q2050293,Q2041206,Undirected,1,Werklocatie
Q2050293,Q211037,Undirected,1,Werklocatie
Q2050293,Q2174414,Undirected,1,Werklocatie
Q26845752,Q12193,Undirected,1,Sterfteplaats
Q26845752,Q7003,Undirected,1,Geboorteplaats
Q115820635,Q129286,Undirected,1,Werklocatie
Q115820635,Q1348,Undirected,1,Sterfteplaats
Q115820635,Q1296,Undirected,1,Geboorteplaats
Q115815697,Q674954,Undirected,1,Werklocatie
Q115815697,Q2681034,Undirected,1,Sterfteplaats
Q115815697,Q2681034,Undirected,1,Werklocatie
Q115815697,Q2928815,Undirected,1,Geboorteplaats
Q115815697,Q696982,Undirected,1,Werklocatie
Q115815697,Q270633,Undirected,1,Werklocatie
Q115833316,Q742920,Undirected,1,Werklocatie
Q115833316,Q2625637,Undirected,1,Werklocatie
Q115833316,Q1849663,Undirected,1,Werklocatie
Q115833316,Q1849663,Undirected,1,Sterfteplaats
Q115833316,Q696871,Undirected,1,Geboorteplaats
Q115833316,Q2556717,Undirected,1,Werklocatie
Q115833316,Q2161674,Undirected,1,Werklocatie
Q115979418,Q3474562,Undirected,1,Sterfteplaats
Q115979418,Q12994,Undirected,1,Werklocatie
Q115979418,Q12995,Undirected,1,Werklocatie
