person,personLabel,relatieItemLabel,richting,wikidataLink,wikipediaLink,commonsLink,image,bioPortaalLink,viafLink
http://www.wikidata.org/entity/Q2491266,Johan Winkler,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q2491266,https://nl.wikipedia.org/wiki/Johan_Winkler_(dialectoloog),,http://commons.wikimedia.org/wiki/Special:FilePath/Johan%20Winkler.jpg,,https://viaf.org/viaf/25379016
http://www.wikidata.org/entity/Q119007176,John Joseph Peter Ross,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q119007176,,,,,
http://www.wikidata.org/entity/Q1978794,Joseph Alberdingk Thijm,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q1978794,https://nl.wikipedia.org/wiki/Joseph_Alberdingk_Thijm,https://commons.wikimedia.org/wiki/Category:Joseph Albert Alberdingk Thijm,http://commons.wikimedia.org/wiki/Special:FilePath/Josephus%20Alberdingk%20Thijm%20portret%20%281864-1889%29.png,,https://viaf.org/viaf/61579021
http://www.wikidata.org/entity/Q126648476,Joseph Antonius Maria Ghislenus Anastasius Johannes Nepomucenus de Pélichy,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q126648476,,,http://commons.wikimedia.org/wiki/Special:FilePath/Joseph%20de%20Pelichy.jpg,,
http://www.wikidata.org/entity/Q115820195,Joseph Axters,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q115820195,,,,,
http://www.wikidata.org/entity/Q119701807,Joseph Cox Algar,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q119701807,,,,,
http://www.wikidata.org/entity/Q115806424,Joseph Devos,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q115806424,,,,,
http://www.wikidata.org/entity/Q115831509,Joseph Gezelle,broer of zus,Persoon naar Guido,https://www.wikidata.org/wiki/Q115831509,,,,,
http://www.wikidata.org/entity/Q115831509,Joseph Gezelle,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q115831509,,,,,
http://www.wikidata.org/entity/Q61506427,Joseph Herreboudt,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q61506427,https://nl.wikipedia.org/wiki/Joseph_Herreboudt,,,,https://viaf.org/viaf/104475665
http://www.wikidata.org/entity/Q61506427,Joseph Herreboudt,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q61506427,https://nl.wikipedia.org/wiki/Joseph_Herreboudt,,,,https://viaf.org/viaf/3022168740909379530008
http://www.wikidata.org/entity/Q1707941,Joseph Ryelandt,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q1707941,https://nl.wikipedia.org/wiki/Joseph_Ryelandt,https://commons.wikimedia.org/wiki/Category:Joseph Ryelandt,http://commons.wikimedia.org/wiki/Special:FilePath/Joseph%20Ryelandt.jpg,,https://viaf.org/viaf/54414009
http://www.wikidata.org/entity/Q1707941,Joseph Ryelandt,werkt samen met,Persoon naar Guido,https://www.wikidata.org/wiki/Q1707941,https://nl.wikipedia.org/wiki/Joseph_Ryelandt,https://commons.wikimedia.org/wiki/Category:Joseph Ryelandt,http://commons.wikimedia.org/wiki/Special:FilePath/Joseph%20Ryelandt.jpg,,https://viaf.org/viaf/54414009
http://www.wikidata.org/entity/Q115811334,Joseph Samyn,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q115811334,https://nl.wikipedia.org/wiki/Joseph_Samyn,,,,
http://www.wikidata.org/entity/Q119013626,Joseph Van Damme,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q119013626,,,,,
http://www.wikidata.org/entity/Q119349793,Josephus De Vriese,familielid,Persoon naar Guido,https://www.wikidata.org/wiki/Q119349793,,,,,
http://www.wikidata.org/entity/Q119265494,Jozef De Vriese,familielid,Persoon naar Guido,https://www.wikidata.org/wiki/Q119265494,,,,,
http://www.wikidata.org/entity/Q55770641,Jozef Gezelle,familielid,Persoon naar Guido,https://www.wikidata.org/wiki/Q55770641,https://nl.wikipedia.org/wiki/Jozef_Gezelle,,,,
http://www.wikidata.org/entity/Q120552708,Jules De Meester,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q120552708,,,,,
http://www.wikidata.org/entity/Q136849457,Jules François Vermaut,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q136849457,,,,,
http://www.wikidata.org/entity/Q17428533,Jules Lammens,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q17428533,https://nl.wikipedia.org/wiki/Jules_Lammens,,,,
http://www.wikidata.org/entity/Q115832532,Jules Perquy,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q115832532,,,,,https://viaf.org/viaf/265076797
http://www.wikidata.org/entity/Q721772,Jules Vandenpeereboom,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q721772,https://nl.wikipedia.org/wiki/Jules_Vandenpeereboom,https://commons.wikimedia.org/wiki/Category:Jules Vandenpeereboom,http://commons.wikimedia.org/wiki/Special:FilePath/Jules%20van%20den%20Peereboom.jpg,,https://viaf.org/viaf/19208519
http://www.wikidata.org/entity/Q101627274,Juliaan Claerhout,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q101627274,https://nl.wikipedia.org/wiki/Juliaan_Claerhout,https://commons.wikimedia.org/wiki/Category:Juliaan Claerhout,,,https://viaf.org/viaf/290508038
http://www.wikidata.org/entity/Q115821474,Juliaan Fové,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q115821474,,,,,
http://www.wikidata.org/entity/Q126415370,Julie Van De Pitte,student van,Persoon naar Guido,https://www.wikidata.org/wiki/Q126415370,,,,,
http://www.wikidata.org/entity/Q116620937,Julienne Elise Van De Wiele,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q116620937,,,,,
http://www.wikidata.org/entity/Q55420570,Julius Leroy,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q55420570,https://nl.wikipedia.org/wiki/Julius_Leroy,,,,https://viaf.org/viaf/27059369
http://www.wikidata.org/entity/Q55420570,Julius Leroy,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q55420570,https://nl.wikipedia.org/wiki/Julius_Leroy,,,,https://viaf.org/viaf/282012081
http://www.wikidata.org/entity/Q55232762,Julius Obrie,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q55232762,,,,,https://viaf.org/viaf/217838725
http://www.wikidata.org/entity/Q2617184,Karel De Flou,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q2617184,https://nl.wikipedia.org/wiki/Karel_De_Flou,,,,https://viaf.org/viaf/50860329
http://www.wikidata.org/entity/Q119362093,Karel De Vriese,familielid,Persoon naar Guido,https://www.wikidata.org/wiki/Q119362093,,,,,
http://www.wikidata.org/entity/Q125233872,Karel De Vriese,familielid,Persoon naar Guido,https://www.wikidata.org/wiki/Q125233872,,,,,
http://www.wikidata.org/entity/Q115831295,Karel Foulon,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q115831295,,,,,
http://www.wikidata.org/entity/Q970833,Karel Frans Stallaert,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q970833,https://nl.wikipedia.org/wiki/Karel_Frans_Stallaert,,http://commons.wikimedia.org/wiki/Special:FilePath/KarelFransStallaert.jpg,,https://viaf.org/viaf/8119350
http://www.wikidata.org/entity/Q41885755,Karel Heynderickx,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q41885755,https://nl.wikipedia.org/wiki/Karel_Heynderickx,,,,https://viaf.org/viaf/285936402
